seed,cluster_frontier,cluster_utility,greedy,hungarian_utility_astar,hungarian_utility_bfs,random
105,3570.0,3195.0,2665.0,3820.0,2870.0,
106,3455.0,3295.0,3080.0,3080.0,3515.0,
107,3490.0,3215.0,2800.0,3195.0,3235.0,
108,3270.0,3300.0,3105.0,3020.0,3065.0,
109,3125.0,3250.0,2970.0,3225.0,3390.0,
110,3360.0,3575.0,2735.0,3265.0,3385.0,
111,3575.0,3460.0,2890.0,3245.0,3100.0,
112,3875.0,3135.0,2780.0,3235.0,3495.0,
113,3480.0,3265.0,3265.0,4125.0,3090.0,
114,3205.0,3205.0,2860.0,3575.0,3230.0,
115,3215.0,3890.0,2725.0,3280.0,3485.0,
