seed,steps,reached_target,final_coverage,total_distance,final_redundancy,mean_redundancy,max_redundancy,cumulative_redundancy,total_reward,mean_reward,alpha,beta,gamma,delta
101,784,True,90.0,3920.0,91.96701119263108,91.1974856995497,92.69695645842435,71498.82878844696,612.0329888073696,0.7806543224583796,1.0,0.5,0.5,0.10000000149011612
102,818,True,90.01,4090.0,92.31051804264625,91.89636799995534,93.54058078927774,75171.22902396334,603.289481957354,0.7375177041043448,1.0,0.5,0.5,0.10000000149011612
103,852,True,90.14,4260.0,92.61897743277324,91.21175478565539,92.65150454287104,77712.41507737839,595.7810225672265,0.6992735006657588,1.0,0.5,0.5,0.10000000149011612
104,762,True,90.03999999999999,3810.0,91.80060648557092,90.3794216430365,92.71834731028841,68869.1192919938,618.0993935144292,0.811154059730222,1.0,0.5,0.5,0.10000000149011612
105,884,True,90.03999999999999,4420.0,92.90627043465244,91.62161553137652,93.33191760458696,80993.50812973679,586.4937295653476,0.6634544452096692,1.0,0.5,0.5,0.10000000149011612
106,922,True,90.03999999999999,4610.0,93.18002787371992,92.6066277085066,93.25019969823379,85383.3107472431,576.7199721262795,0.6255097311564853,1.0,0.5,0.5,0.10000000149011612
107,892,True,90.01,4460.0,92.98359122266828,93.22667410957266,94.87562512177698,83158.19330573891,584.1164087773316,0.6548390232929726,1.0,0.5,0.5,0.10000000149011612
108,727,True,90.11,3635.0,91.27804556981629,89.94253709237746,91.85059422750425,65388.224466158405,628.0719544301826,0.8639229084321631,1.0,0.5,0.5,0.10000000149011612
109,889,True,90.09,4445.0,92.94120412448679,91.9999106442984,93.28590484659848,81787.9205627813,585.7087958755128,0.6588400403549075,1.0,0.5,0.5,0.10000000149011612
110,756,True,90.08,3780.0,91.71274276198974,91.33010766981626,93.8821268417681,69045.56139838116,620.0872572380101,0.8202212397328176,1.0,0.5,0.5,0.10000000149011612
115,566,True,90.07,2830,88.8407071971058,88.34351685092908,,,670.3592928028934,1.1843803759768445,1.0,0.5,0.5,0.1
