strategy,seed,time_to_target,coverage,distance,sensing_redundancy,visit_overlap,movement_efficiency
ppo_50k_a,105,638,90.10000000000001,3195,90.10227285210533,0,0
ppo_100k_b,105,609,90.03999999999999,3050,89.67514075704932,0,0
ppo_50k_a,106,705,90.07,3530,91.01805961367783,0,0
ppo_100k_b,106,673,90.10000000000001,3370,90.61076895822261,0,0
ppo_50k_a,107,669,90.03999999999999,3350,90.58011194225035,0,0
ppo_100k_b,107,641,90.03,3210,90.18083064305034,0,0
ppo_50k_a,108,606,90.0,3035,89.6041490996038,0,0
ppo_100k_b,108,620,90.03,3105,89.86034463340467,0,0
ppo_50k_a,109,597,90.0,2990,89.44727153342869,0,0
ppo_100k_b,109,567,90.07,2840,88.90968417164316,0,0
ppo_50k_a,110,624,90.0,3125,89.91291483137755,0,0
ppo_100k_b,110,663,90.03,3320,90.49293543686244,0,0
ppo_50k_a,111,615,90.01,3080,89.7715909090909,0,0
ppo_100k_b,111,596,90.06,2985,89.40595224091284,0,0
ppo_50k_a,112,651,90.03,3260,90.31445999591192,0,0
ppo_100k_b,112,548,90.11,2745,88.51575244698205,0,0
ppo_50k_a,113,658,90.06,3295,90.43431156995825,0,0
ppo_100k_b,113,753,90.03,3770,91.64966238777176,0,0
ppo_50k_a,114,544,90.07,2725,88.50664182627892,0,0
ppo_100k_b,114,589,90.03,2950,89.2636098026355,0,0
ppo_50k_a,115,605,90.01,3030,89.62217379774711,0,0
ppo_100k_b,115,634,90.03999999999999,3175,90.09264760898748,0,0
