seed,steps,reached_90,final_coverage,total_distance,final_redundancy,mean_redundancy,total_reward,mean_reward,mean_alpha,mean_beta,mean_gamma,mean_delta,checkpoint
105,835,True,90.09,4175.0,92.46663544837274,91.12919791358433,599.6833645516274,0.7181836701217095,0.3577931060717848,0.34636518037292413,0.20196833816150617,0.3401964418026814,ppo_a_25k
106,859,True,90.03,4295.0,92.69266669372185,91.72185237745697,592.8573333062785,0.6901715172366455,0.31125583935570195,0.28466768442881885,0.11794588648051682,0.2535958703535764,ppo_a_25k
107,878,True,90.02,4390.0,92.87799552204562,92.11529935119921,587.8220044779541,0.6695011440523395,0.3304585623777639,0.3089669363356804,0.14026159633683988,0.2862905981443432,ppo_a_25k
108,1068,True,90.08,5340.0,94.13625652575803,92.71505839790152,539.663743474242,0.5053031305938596,0.3282862039656145,0.3060261818906467,0.13951853100011608,0.2823936175485229,ppo_a_25k
109,1027,True,90.0,5135.0,93.87859207617753,91.88997911901784,549.3714079238229,0.5349283426716873,0.29531396383250963,0.2700855614773443,0.12372033163644881,0.24214733063815544,ppo_a_25k
110,913,True,90.0,4565.0,93.15688227556474,91.56190188419282,578.5931177244353,0.6337274016696991,0.30802488531091077,0.2785530754141632,0.09823053980833746,0.24392467201865908,ppo_a_25k
111,960,True,90.08,4800.0,93.44634412513642,92.9322137886818,567.3536558748644,0.5909933915363171,0.30323592509375885,0.2734268428107801,0.10224232994320724,0.2391328833323011,ppo_a_25k
112,1030,True,90.01,5150.0,93.88381906269748,92.49434267610299,548.7161809373025,0.5327341562498082,0.33393063261942235,0.3134598620778438,0.15155837715069936,0.29316129183161604,ppo_a_25k
113,958,True,90.0,4790.0,93.46372001481556,92.74106040853613,567.0362799851838,0.5918959081264966,0.2914657455145737,0.2574661614175007,0.08263022391006958,0.21646977518442123,ppo_a_25k
114,862,True,90.05,4310.0,92.69169588365148,91.42826067222406,592.3083041163483,0.6871326033832347,0.3272916700414397,0.30670895368150347,0.1518667524274257,0.28481439962062616,ppo_a_25k
105,556,True,90.11,2780.0,88.62678278429887,87.14905971485804,673.4732172157014,1.2112827647764415,0.6464497602692129,0.977542682570948,0.26325012109930823,0.10895779748236184,ppo_a_50k
106,569,True,90.03999999999999,2845.0,88.90668506517507,88.06555646913594,669.2433149348252,1.1761745429434538,0.6222858294117901,0.9719405148590805,0.25044824250749526,0.08743312988701965,ppo_a_50k
107,531,True,90.09,2655.0,88.15680500598141,86.89424460927485,679.9931949940187,1.2805898210810145,0.6407035400919097,0.9751448119988774,0.26006074876414015,0.10301924777075143,ppo_a_50k
108,575,True,90.05,2875.0,88.9791822198289,86.88641955299852,667.7708177801715,1.1613405526611678,0.6467944494975002,0.9809709319861039,0.2624844087303981,0.10482795950835165,ppo_a_50k
109,536,True,90.03999999999999,2680.0,88.14092854790913,87.79896552011357,678.2590714520901,1.2654087153956906,0.6332525700233432,0.9745501134155402,0.25653913565572534,0.09917139320776784,ppo_a_50k
110,502,True,90.0,2510.0,87.40042838543489,87.2870051823427,687.0995716145655,1.3687242462441545,0.6321570187847898,0.9660731131337078,0.2574182753469721,0.10332019028135118,ppo_a_50k
111,677,True,90.03999999999999,3385.0,90.69411716069288,88.1075431075507,640.4558828393058,0.9460205064096098,0.5521798447858504,0.9088159726500687,0.224189020401662,0.065930256906187,ppo_a_50k
112,486,True,90.05,2430.0,86.92388116051463,86.14030767482679,692.0761188394847,1.4240249358837134,0.6459569003444487,0.97501404466943,0.2634801564895291,0.11051601793429212,ppo_a_50k
113,560,True,90.06,2800.0,88.64856689102322,87.7379616143105,671.9514331089777,1.1999132734088886,0.6330946356773244,0.9717253836137908,0.2568060023826547,0.09969377003144472,ppo_a_50k
114,525,True,90.03999999999999,2625.0,87.90630204695643,88.11343847672937,681.2436979530439,1.2976070437200837,0.6233065097583901,0.9596093529178983,0.2533215181724656,0.09919495926903826,ppo_a_50k
105,584,True,90.02,2920.0,89.05771381339038,88.28813824689134,665.1422861866101,1.138942270867483,0.4712921343233487,0.9924945103081122,0.24142897044219178,0.0,ppo_a_75k
106,567,True,90.10000000000001,2835.0,88.81537296572614,89.06313567167103,670.4346270342737,1.1824243863038337,0.49179493258764717,0.9927182184956062,0.2189989196813322,0.0,ppo_a_75k
107,516,True,90.06,2580.0,87.64981761334029,86.7732089724909,683.9501823866591,1.3254848495865486,0.4540818230241768,0.9881062721328218,0.2510482659725862,0.0,ppo_a_75k
108,611,True,90.02,3055.0,89.6234135995297,87.36324721926007,657.8265864004695,1.0766392576112431,0.45098984751197985,0.9930356664860502,0.2551851794718111,0.0,ppo_a_75k
109,620,True,90.03999999999999,3100.0,89.74464110799791,90.42139890678253,655.6553588920016,1.057508643374196,0.5103610379801643,0.9924115952945525,0.20833691483543765,0.0,ppo_a_75k
110,506,True,90.05,2530.0,87.44422755158952,87.18987320311685,686.5557724484099,1.356829589818992,0.4617959795438725,0.9911473826928572,0.2410154871241348,0.0,ppo_a_75k
111,565,True,90.11,2825.0,88.70094043887148,88.4663857439099,671.1490595611297,1.1878744417011144,0.4782717836377895,0.9915247958845796,0.23305760545705537,0.0,ppo_a_75k
112,656,True,90.03999999999999,3280.0,90.32743210725334,87.62099804857455,646.0725678927465,0.984866719348699,0.46308127570352176,0.9923024458310953,0.24682095790389788,0.0,ppo_a_75k
113,584,True,90.0,2920.0,89.07408981098175,89.66042348373995,664.9259101890184,1.1385717640222919,0.5021489737427807,0.991765779787547,0.2072811634247893,0.0,ppo_a_75k
114,589,True,90.01,2945.0,89.31200721953073,87.73200898508314,663.5379927804688,1.126550072632375,0.4709278014448988,0.9887659786006591,0.23719825081887744,0.0,ppo_a_75k
105,634,True,90.0,3170.0,89.91641831178434,88.43516624563517,651.5835816882158,1.0277343559751038,0.8370863137420044,0.9936970556242984,0.17393713281710252,0.0,ppo_a_100k
