timestep,episode,alpha,beta,gamma,delta,reward,coverage,distance,redundancy,assigned_drones,no_centroid_path,no_frontier_path,delta_coverage,delta_distance,delta_redundancy,coverage_reward,distance_penalty,redundancy_penalty
79873,61,1.0,1.0,0.8519726991653442,0.0,1.5637998580932617,30.91,1170,90.75409051479167,,0,0,0.17999999999999972,5,-0.013799889582543301,1.7999999999999972,0.25,-0.013799889582543301
79874,61,0.0,1.0,0.0,0.0,1.6666589975357056,31.1,1175,90.73743149868953,,0,0,0.19000000000000128,5,-0.016659016102138935,1.9000000000000128,0.25,-0.016659016102138935
79875,61,0.8615480065345764,1.0,0.0,0.0,1.2546536922454834,31.25,1180,90.73277779425284,,0,0,0.14999999999999858,5,-0.0046537044366914415,1.4999999999999858,0.25,-0.0046537044366914415
79876,61,1.0,1.0,0.0,0.4925066828727722,1.3575667142868042,31.41,1185,90.72521112620328,,0,0,0.16000000000000014,5,-0.0075666680495629635,1.6000000000000014,0.25,-0.0075666680495629635
79877,61,1.0,1.0,0.17309951782226562,0.0,1.563382625579834,31.59,1190,90.71182852606509,,0,0,0.17999999999999972,5,-0.013382600138186262,1.7999999999999972,0.25,-0.013382600138186262
79878,61,0.5957270860671997,1.0,0.0,0.0,1.9749799966812134,31.81,1195,90.68684857711676,,0,0,0.21999999999999886,5,-0.024979948948328,2.1999999999999886,0.25,-0.024979948948328
79879,61,0.44392669200897217,0.6655936241149902,0.0,0.0,2.077684164047241,32.04,1200,90.65916445584676,,0,0,0.23000000000000043,5,-0.027684121269999196,2.3000000000000043,0.25,-0.027684121269999196
79880,61,0.40345972776412964,1.0,0.6622712016105652,0.0,2.180626153945923,32.28,1205,90.62853824938307,,0,0,0.240000000000002,5,-0.03062620646369396,2.40000000000002,0.25,-0.03062620646369396
79881,61,0.16183818876743317,1.0,0.015216745436191559,0.0,1.4614899158477783,32.45,1210,90.61704834605598,,0,0,0.1700000000000017,5,-0.011489903327088768,1.700000000000017,0.25,-0.011489903327088768
79882,61,0.7391438484191895,1.0,0.8548239469528198,0.0,1.4613978862762451,32.62,1215,90.6056504334303,,0,0,0.1699999999999946,5,-0.011397912625682238,1.699999999999946,0.25,-0.011397912625682238
79883,61,0.18238604068756104,1.0,0.4139215350151062,0.6023983955383301,1.9756492376327515,32.84,1220,90.58000114738111,,0,0,0.22000000000000597,5,-0.02564928604918748,2.2000000000000597,0.25,-0.02564928604918748
79884,61,1.0,1.0,0.4777098298072815,0.0,1.8725885152816772,33.050000000000004,1225,90.55741264535298,,0,0,0.21000000000000085,5,-0.022588502028128232,2.1000000000000085,0.25,-0.022588502028128232
79885,61,0.8465806245803833,1.0,0.0,0.2140263319015503,2.1809470653533936,33.29,1230,90.5264655663062,,0,0,0.23999999999999488,5,-0.030947079046782733,2.399999999999949,0.25,-0.030947079046782733
79886,61,0.38882237672805786,1.0,0.8647170066833496,0.0,2.2835378646850586,33.54,1235,90.49292780407609,,0,0,0.25,5,-0.03353776223011096,2.5,0.25,-0.03353776223011096
79887,61,0.033068180084228516,1.0,1.0,0.0,2.3860979080200195,33.800000000000004,1240,90.4568298605229,,0,0,0.2600000000000051,5,-0.036097943553187406,2.600000000000051,0.25,-0.036097943553187406
79888,61,0.0,1.0,0.0,0.13812929391860962,2.3858156204223633,34.06,1245,90.42101414630031,,0,0,0.259999999999998,5,-0.03581571422259344,2.59999999999998,0.25,-0.03581571422259344
79889,61,1.0,1.0,0.0,0.0,2.591139554977417,34.339999999999996,1250,90.37987449574182,,0,0,0.27999999999999403,5,-0.04113965055849178,2.7999999999999403,0.25,-0.04113965055849178
79890,61,0.0,1.0,0.0,0.0,2.590820550918579,34.62,1255,90.33905399748849,,0,0,0.28000000000000114,5,-0.0408204982533249,2.8000000000000114,0.25,-0.0408204982533249
79891,61,0.0,1.0,0.2367226928472519,0.0,2.3835980892181396,34.88,1260,90.30545596042136,,0,0,0.2600000000000051,5,-0.03359803706713649,2.600000000000051,0.25,-0.03359803706713649
79892,61,0.3564811050891876,1.0,0.33381035923957825,0.0,2.5891363620758057,35.160000000000004,1265,90.26631969436907,,0,0,0.28000000000000114,5,-0.0391362660522816,2.8000000000000114,0.25,-0.0391362660522816
79893,61,0.0,1.0,1.0,0.0,1.973628044128418,35.38,1270,90.2426916712631,,0,0,0.21999999999999886,5,-0.023628023105970897,2.1999999999999886,0.25,-0.023628023105970897
79894,61,0.0,1.0,0.18551766872406006,0.0,1.8720448017120361,35.589999999999996,1275,90.22064682768665,,0,0,0.20999999999999375,5,-0.022044843576452422,2.0999999999999375,0.25,-0.022044843576452422
79895,61,1.0,1.0,0.198642760515213,0.0,2.1800975799560547,35.83,1280,90.19054919783169,,0,0,0.240000000000002,5,-0.030097629854964225,2.40000000000002,0.25,-0.030097629854964225
79896,61,0.457672655582428,1.0,0.44100213050842285,0.0,1.9757649898529053,36.05,1285,90.16478419817756,,0,0,0.21999999999999886,5,-0.02576499965412893,2.1999999999999886,0.25,-0.02576499965412893
79897,61,0.0,1.0,0.0,0.0,2.0769636631011963,36.28,1290,90.13782042569386,,0,0,0.23000000000000398,5,-0.026963772483696857,2.30000000000004,0.25,-0.026963772483696857
79898,61,1.0,1.0,0.4119340777397156,0.0,2.075430393218994,36.51,1295,90.11238997968856,,0,0,0.22999999999999687,5,-0.025430446005302088,2.2999999999999687,0.25,-0.025430446005302088
79899,61,0.0,1.0,1.0,0.0,1.8698447942733765,36.720000000000006,1300,90.09254512586676,,0,0,0.21000000000000796,5,-0.019844853821794572,2.1000000000000796,0.25,-0.019844853821794572
79900,61,0.695876955986023,1.0,1.0,0.0,1.9723857641220093,36.94,1305,90.07015940431708,,0,0,0.21999999999999176,5,-0.022385721549682103,2.1999999999999176,0.25,-0.022385721549682103
79901,61,0.0,1.0,0.663815975189209,0.3507433533668518,0.4333752393722534,37.01,1310,90.08678416456848,,0,0,0.07000000000000028,5,0.01662476025140336,0.7000000000000028,0.25,0.01662476025140336
79902,61,0.764315128326416,1.0,1.0,0.0,1.1521763801574707,37.15,1315,90.08460778818694,,0,0,0.14000000000000057,5,-0.002176376381541445,1.4000000000000057,0.25,-0.002176376381541445
79903,61,0.2845607399940491,1.0,0.7500209212303162,0.0,1.0481830835342407,37.28,1320,90.08642467756948,,0,0,0.13000000000000256,5,0.0018168893825389887,1.3000000000000256,0.25,0.0018168893825389887
79904,61,1.0,1.0,0.0,0.0,1.458794355392456,37.45,1325,90.07763028906022,,0,0,0.1700000000000017,5,-0.00879438850925851,1.700000000000017,0.25,-0.00879438850925851
79905,61,1.0,1.0,0.1971835196018219,0.024762868881225586,1.766649842262268,37.65,1330,90.06098043874238,,0,0,0.19999999999999574,5,-0.01664985031784738,1.9999999999999574,0.25,-0.01664985031784738
79906,61,1.0,1.0,0.0,0.0,1.3560079336166382,37.81,1335,90.05497251374312,,0,0,0.1600000000000037,5,-0.006007924999252623,1.600000000000037,0.25,-0.006007924999252623
79907,61,0.0,1.0,0.0,0.0,1.1507229804992676,37.95,1340,90.05424954792043,,0,0,0.14000000000000057,5,-0.0007229658226890479,1.4000000000000057,0.25,-0.0007229658226890479
79908,61,0.0,1.0,0.0,0.0,1.1507177352905273,38.09,1345,90.05353179266223,,0,0,0.14000000000000057,5,-0.0007177552582078306,1.4000000000000057,0.25,-0.0007177552582078306
79909,61,0.0,1.0,0.0,0.0,1.25331449508667,38.24,1350,90.05021726120782,,0,0,0.14999999999999858,5,-0.003314531454407188,1.4999999999999858,0.25,-0.003314531454407188
79910,61,1.0,0.0,0.4314764440059662,0.0,1.150956153869629,38.379999999999995,1355,90.04926108374384,,0,0,0.13999999999999346,5,-0.0009561774639763598,1.3999999999999346,0.25,-0.0009561774639763598
79911,61,0.926262378692627,1.0,0.5765116810798645,0.16376793384552002,1.4586999416351318,38.550000000000004,1360,90.04056113881211,,0,0,0.1700000000000088,5,-0.008699944931734649,1.700000000000088,0.25,-0.008699944931734649
79912,61,0.0,1.0,0.0,0.0,1.5599297285079956,38.73,1365,90.03063141908414,,0,0,0.1799999999999926,5,-0.00992971972796397,1.799999999999926,0.25,-0.00992971972796397
79913,61,0.24241837859153748,1.0,0.43173858523368835,0.0,1.8688323497772217,38.940000000000005,1370,90.01179910737189,,0,0,0.21000000000000796,5,-0.018832311712259298,2.1000000000000796,0.25,-0.018832311712259298
79914,61,0.030668169260025024,1.0,0.0,0.0,1.663588285446167,39.129999999999995,1375,89.99821077115763,,0,0,0.18999999999999062,5,-0.013588336214255037,1.8999999999999062,0.25,-0.013588336214255037
