timestep,episode,alpha,beta,gamma,delta,reward,coverage,distance,redundancy,assigned_drones,no_centroid_path,no_frontier_path,delta_coverage,delta_distance,delta_redundancy,coverage_reward,distance_penalty,redundancy_penalty
1,0,0.8174688220024109,0.0,0.7294896841049194,0.057918500155210495,-68.47856903076172,0.32,5,71.42857142857143,,0,0,0.32,5,71.42857142857143,3.2,0.25,71.42857142857143
2,0,0.0,0.7126624584197998,1.0,0.0,-14.209556579589844,0.32,10,85.38812785388129,,0,0,0.0,5,13.959556425309856,0.0,0.25,13.959556425309856
3,0,0.0,0.0,0.0,0.6497049331665039,-5.1941986083984375,0.32,15,90.33232628398792,,0,0,0.0,5,4.944198430106638,0.0,0.25,4.944198430106638
4,0,0.2537645697593689,0.2902354300022125,0.8446874022483826,0.6574984788894653,-1.427786111831665,0.36,20,91.91011235955057,,0,0,0.03999999999999998,5,1.577786075562642,0.3999999999999998,0.25,1.577786075562642
5,0,0.0,0.0,0.39592230319976807,0.0,-0.5703840851783752,0.41000000000000003,25,92.73049645390071,,0,0,0.050000000000000044,5,0.8203840943501461,0.5000000000000004,0.25,0.8203840943501461
6,0,0.0,1.0,0.7279134392738342,0.0,0.6904379725456238,0.5,30,92.69005847953217,,0,0,0.08999999999999997,5,-0.040437974368543905,0.8999999999999997,0.25,-0.040437974368543905
7,0,0.2381298542022705,0.9746218919754028,0.803626298904419,0.0,0.9027450680732727,0.6,35,92.53731343283582,,0,0,0.09999999999999998,5,-0.15274504669635292,0.9999999999999998,0.25,-0.15274504669635292
8,0,1.0,0.8905332088470459,1.0,0.23870672285556793,1.0712960958480835,0.7100000000000001,40,92.31601731601732,,0,0,0.1100000000000001,5,-0.22129611681849326,1.100000000000001,0.25,-0.22129611681849326
9,0,0.0,0.0,0.0,0.0,1.020423412322998,0.8200000000000001,45,92.1455938697318,,0,0,0.10999999999999999,5,-0.17042344628552542,1.0999999999999999,0.25,-0.17042344628552542
10,0,0.0,1.0,0.0,0.0,0.9852845668792725,0.9299999999999999,50,92.0103092783505,,0,0,0.10999999999999988,5,-0.13528459138129278,1.0999999999999988,0.25,-0.13528459138129278
11,0,0.0,0.6789982318878174,0.0,0.0,0.9599977731704712,1.04,55,91.90031152647975,,0,0,0.1100000000000001,5,-0.10999775187075045,1.100000000000001,0.25,-0.10999775187075045
12,0,0.0,0.6612040996551514,0.0,1.0,-0.0861557126045227,1.09,60,92.23646723646723,,0,0,0.050000000000000044,5,0.3361557099874801,0.5000000000000004,0.25,0.3361557099874801
