timestep,alpha,beta,gamma,delta
1,-1.733481764793396,0.46839234232902527,-0.8240965008735657,0.6048408150672913
2,-0.3924829661846161,-0.6025938391685486,-1.9277327060699463,0.6034107208251953
3,0.9773341417312622,0.4213196337223053,0.27793893218040466,2.1137003898620605
4,0.849870502948761,0.3735828101634979,-0.7330300211906433,0.30622005462646484
5,1.1344070434570312,-0.7271655201911926,1.4987006187438965,-0.7406333088874817
6,-0.5197802782058716,0.23310886323451996,-0.40459248423576355,-0.549436092376709
7,2.5174224376678467,0.6493069529533386,0.648797333240509,0.5989263653755188
8,0.3518206477165222,-1.046598196029663,0.6710996031761169,1.432784914970398
9,-0.30305925011634827,2.254547595977783,0.4521517753601074,1.020126223564148
10,-0.9213090538978577,-1.4052523374557495,0.6103653311729431,-0.8039484620094299
11,0.29418498277664185,-0.08902876824140549,0.9227242469787598,0.7764251828193665
12,-0.9162421822547913,-1.0826867818832397,0.570244312286377,1.7380726337432861
13,-0.11098603904247284,0.8411665558815002,-1.0398528575897217,0.7079070210456848
14,-0.05465122312307358,-0.6253997683525085,0.756723165512085,-0.32603782415390015
15,0.8849027156829834,0.18390294909477234,2.0708107948303223,1.5166521072387695
16,1.5187878608703613,-0.49518248438835144,0.672141432762146,0.6126273274421692
17,0.3325829803943634,-0.5427030920982361,-0.6524577140808105,-0.5458053946495056
18,-1.1066055297851562,-0.36043599247932434,0.739989161491394,0.5599206686019897
19,0.08102293312549591,-0.7738572359085083,1.055683970451355,-0.7739883661270142
20,-1.780259609222412,-1.5350829362869263,0.04606304317712784,-1.5998213291168213
21,0.6335497498512268,-0.7618860006332397,-1.7734802961349487,0.7541130781173706
22,-0.6171922087669373,-0.902854323387146,-1.8014094829559326,-0.5999717712402344
23,-0.18903093039989471,0.3437412679195404,1.5712354183197021,-2.236570358276367
24,0.36145246028900146,0.7248827815055847,-1.2901253700256348,0.3628423511981964
25,-1.443353533744812,0.6940709352493286,-1.5856869220733643,2.6113712787628174
26,0.49083518981933594,-0.05248740315437317,1.1613978147506714,0.6099574565887451
27,1.4100571870803833,0.6799318194389343,-1.5583406686782837,-2.311351776123047
28,-0.44980019330978394,1.3806736469268799,-0.8392758965492249,-0.541427493095398
29,0.26294317841529846,-0.5806629657745361,-0.4152456223964691,0.25235334038734436
30,1.993711233139038,-0.9523450136184692,-0.16970984637737274,1.424916386604309
31,-0.240626722574234,0.6557973623275757,-0.16373108327388763,0.19704681634902954
32,-0.5091699361801147,-0.8193235397338867,-1.111907958984375,-0.8117101788520813
33,-1.1720367670059204,-0.9108787775039673,0.7745345830917358,-0.09494461864233017
34,-0.14276918768882751,-2.7598111629486084,-1.1271470785140991,-0.33961015939712524
35,0.4586026072502136,1.0775974988937378,-1.312646508216858,0.5354984402656555
36,0.6037978529930115,0.5414935350418091,1.153376817703247,-0.5423551201820374
