strategy,run_id,map_seed,timestep,coverage,total_distance,overlap_percentage
random,5,5,1,0.16999999999999998,5,75.71428571428571
random,5,5,2,0.22,10,84.72222222222221
random,5,5,3,0.25,15,88.93805309734513
random,5,5,4,0.29,20,90.52287581699346
random,5,5,5,0.33999999999999997,25,91.3265306122449
random,5,5,6,0.35000000000000003,30,92.7536231884058
random,5,5,7,0.35000000000000003,35,93.9446366782007
random,5,5,8,0.35000000000000003,40,94.79166666666666
random,5,5,9,0.36,45,95.28178243774575
random,5,5,10,0.36,50,95.8477508650519
random,5,5,11,0.37,55,96.20901639344262
random,5,5,12,0.42,60,96.10750695088045
random,5,5,13,0.48,65,95.95619208087615
random,5,5,14,0.54,70,95.84615384615385
random,5,5,15,0.6,75,95.75371549893843
random,5,5,16,0.61,80,96.01046435578809
random,5,5,17,0.62,85,96.20098039215686
random,5,5,18,0.63,90,96.35416666666666
random,5,5,19,0.63,95,96.55549480590486
random,5,5,20,0.63,100,96.72557172557173
random,5,5,21,0.64,105,96.83168316831683
random,5,5,22,0.67,110,96.83514407179972
random,5,5,23,0.7000000000000001,115,96.84968496849685
random,5,5,24,0.7000000000000001,120,96.97885196374622
random,5,5,25,0.73,125,96.97722567287784
random,5,5,26,0.76,130,96.98053237981725
random,5,5,27,0.8,135,96.94772987409385
random,5,5,28,0.8,140,97.06637330399707
random,5,5,29,0.8099999999999999,145,97.14386459802539
random,5,5,30,0.8699999999999999,150,97.06180344478217
random,5,5,31,0.91,155,97.04737183646982
random,5,5,32,0.9199999999999999,160,97.12679575265459
random,5,5,33,0.98,165,97.05440336639616
random,5,5,34,0.9900000000000001,170,97.14120704591394
random,5,5,35,1.01,175,97.1850613154961
random,5,5,36,1.0699999999999998,180,97.11978465679677
random,5,5,37,1.11,185,97.109375
random,5,5,38,1.11,190,97.20684448917967
random,5,5,39,1.17,195,97.15259187150158
random,5,5,40,1.22,200,97.11788329789746
random,5,5,41,1.22,205,97.20311783585511
random,5,5,42,1.22,210,97.27800089245872
random,5,5,43,1.22,215,97.34955463827937
random,5,5,44,1.23,220,97.39627434377645
random,5,5,45,1.25,225,97.42268041237114
random,5,5,46,1.29,230,97.40755627009646
random,5,5,47,1.34,235,97.37922941521612
random,5,5,48,1.37,240,97.39047619047619
random,5,5,49,1.4200000000000002,245,97.3640245034342
random,5,5,50,1.43,250,97.40707162284679
random,5,5,51,1.43,255,97.46813031161473
random,5,5,52,1.43,260,97.52423822714681
random,5,5,53,1.43,265,97.58200879269529
random,5,5,54,1.46,270,97.5851802844856
random,5,5,55,1.53,275,97.52587322121605
random,5,5,56,1.54,280,97.56483238456674
random,5,5,57,1.5699999999999998,285,97.57153905645785
random,5,5,58,1.6400000000000001,290,97.51778416830635
random,5,5,59,1.72,295,97.44958481613286
random,5,5,60,1.73,300,97.48583054788547
random,5,5,61,1.7500000000000002,305,97.50285388127854
random,5,5,62,1.77,310,97.52100840336134
random,5,5,63,1.78,315,97.54719581094116
random,5,5,64,1.81,320,97.54676063973977
random,5,5,65,1.83,325,97.5596746232831
random,5,5,66,1.87,330,97.54432042022324
random,5,5,67,1.92,335,97.51841799146956
random,5,5,68,1.94,340,97.53306205493388
random,5,5,69,1.94,345,97.575
random,5,5,70,1.94,350,97.6170003685051
random,5,5,71,1.94,355,97.65445532583726
random,5,5,72,1.96,360,97.66583303560795
random,5,5,73,1.96,365,97.6976389052038
random,5,5,74,1.96,370,97.73121889107536
random,5,5,75,1.96,375,97.76612719398223
random,5,5,76,2.0,380,97.75381850853549
random,5,5,77,2.0,385,97.78393351800554
random,5,5,78,2.02,390,97.79259097366409
random,5,5,79,2.02,395,97.8190455625135
random,5,5,80,2.02,400,97.84717041457955
random,5,5,81,2.02,405,97.87480273540243
random,5,5,82,2.0500000000000003,410,97.8725612287256
random,5,5,83,2.06,415,97.88956049585083
random,5,5,84,2.06,420,97.91540174053836
random,5,5,85,2.07,425,97.93186132480768
random,5,5,86,2.07,430,97.9575727676369
random,5,5,87,2.07,435,97.9826527628886
random,5,5,88,2.07,440,98.00712428997785
random,5,5,89,2.07,445,98.03025977733371
random,5,5,90,2.07,450,98.05249788314987
random,5,5,91,2.07,455,98.07513483355031
random,5,5,92,2.11,460,98.06048350032171
random,5,5,93,2.13,465,98.06539509536785
random,5,5,94,2.13,470,98.08625336927224
random,5,5,95,2.16,475,98.08085295424256
random,5,5,96,2.16,480,98.10043092076334
random,5,5,97,2.16,485,98.12026803585414
random,5,5,98,2.16,490,98.14065593526729
random,5,5,99,2.16,495,98.16060631865793
random,5,5,100,2.16,500,98.17936614969656
random,5,5,101,2.19,505,98.17225838758137
random,5,5,102,2.2399999999999998,510,98.14921920185078
random,5,5,103,2.2399999999999998,515,98.16708943621634
random,5,5,104,2.25,520,98.17725210628645
random,5,5,105,2.26,525,98.18692338547935
random,5,5,106,2.29,530,98.18196252778661
