strategy,seed,time_to_90,distance,sensing_redundancy,visit_overlap,movement_efficiency,nodes_expanded
cluster_ig_only,105,3972,19860,98.43309580226367,63.76787903555374,0.22321248741188318,112419351
hungarian_ig_only,105,821,4105,92.31248878904616,14.817927170868348,0.7408038976857491,1872861
cluster_ig_cost,105,678,3390,90.69147011074689,7.112561174551386,0.8398230088495575,113274863
hungarian_ig_cost,105,678,3390,90.63782480856945,11.140322050607953,0.7976401179941003,1552281
cluster_ig_cost_redundancy,105,630,3150,89.95737463456001,3.6256906077348066,0.8860317460317461,89433329
hungarian_ig_cost_redundancy,105,670,3350,90.57255986424487,9.20138888888889,0.7805970149253731,2187365
cluster_ig_cost_redundancy_cluster,105,634,3170,89.99644317979725,5.465795806118941,0.8675078864353313,93167097
hungarian_ig_cost_redundancy_cluster,105,574,2870,89.01176700356427,9.785111281657713,0.8191637630662021,1609561
cluster_ig_only,106,3045,15225,97.95572091501931,60.41979010494752,0.2774384236453202,75758388
hungarian_ig_only,106,769,3845,91.79592803893334,16.339677891654468,0.7430429128738621,1630699
cluster_ig_cost,106,650,3250,90.24559426007414,5.220338983050848,0.8603076923076923,72328435
hungarian_ig_cost,106,753,3765,91.60347352417196,16.50915534554046,0.750863213811421,1853445
cluster_ig_cost_redundancy,106,676,3380,90.66903051227023,8.13350615683733,0.8387573964497042,77948643
hungarian_ig_cost_redundancy,106,656,3280,90.32691109822369,10.031023784901757,0.7957317073170732,2091200
cluster_ig_cost_redundancy_cluster,106,675,3375,90.592538405267,7.829759584145549,0.8405925925925926,96486138
hungarian_ig_cost_redundancy_cluster,106,703,3515,91.04470190443041,13.829787234042554,0.7834992887624467,1958485
cluster_ig_only,107,5680,28400,98.90278579834943,68.05717619603267,0.15422535211267605,113134750
hungarian_ig_only,107,732,3660,91.29434509424843,16.62412252712189,0.7139344262295082,1846890
cluster_ig_cost,107,667,3335,90.4724609457686,6.777996070726916,0.8536731634182908,111383797
hungarian_ig_cost,107,807,4035,92.13280908693753,18.696015603232098,0.723172242874845,1995326
cluster_ig_cost_redundancy,107,674,3370,90.55816051441819,7.344262295081967,0.8385756676557864,97002933
hungarian_ig_cost_redundancy,107,673,3365,90.62151950120224,10.756972111553784,0.798811292719168,1953862
cluster_ig_cost_redundancy_cluster,107,743,3715,91.48889897499906,12.102473498233216,0.8034993270524899,93027718
hungarian_ig_cost_redundancy_cluster,107,647,3235,90.1539269421379,9.871244635193133,0.7789799072642968,1637017
cluster_ig_only,108,4442,22210,98.6001589244145,65.19359920404611,0.1890139576767222,102325676
hungarian_ig_only,108,678,3390,90.66608601882959,12.787639710716633,0.7825958702064897,1873601
cluster_ig_cost,108,707,3535,91.0043764113427,6.405023547880691,0.8432814710042433,74735824
hungarian_ig_cost,108,641,3205,90.18226240987774,14.112763749567625,0.7747269890795632,2361448
cluster_ig_cost_redundancy,108,723,3615,91.28900661227331,11.800302571860817,0.8063623789764869,119192943
hungarian_ig_cost_redundancy,108,665,3325,90.49789991346377,10.612386917188587,0.7726315789473684,1792411
cluster_ig_cost_redundancy_cluster,108,757,3785,91.63989824906697,11.992996790195507,0.7968295904887714,133968745
hungarian_ig_cost_redundancy_cluster,108,613,3065,89.70925915348147,10.510948905109489,0.8,1642571
cluster_ig_only,109,3522,17610,98.2329630988995,63.97667737028899,0.24207836456558773,88353445
hungarian_ig_only,109,703,3515,90.96569772688532,10.768731754784302,0.7826458036984353,1580382
cluster_ig_cost,109,643,3215,90.17268480111775,6.802721088435375,0.8522550544323484,82806232
hungarian_ig_cost,109,604,3020,89.50735988252158,8.931185944363104,0.823841059602649,1768504
cluster_ig_cost_redundancy,109,686,3430,90.80649938212977,6.431803490627019,0.8440233236151603,78359099
hungarian_ig_cost_redundancy,109,761,3805,91.66813229535965,15.617577197149643,0.7469119579500657,1869564
cluster_ig_cost_redundancy_cluster,109,677,3385,90.59685448606226,6.8040562643114155,0.8416543574593797,97369133
hungarian_ig_cost_redundancy_cluster,109,678,3390,90.64414311522728,10.325365205843294,0.7967551622418879,1635562
cluster_ig_only,110,3589,17945,98.26122571994915,63.928748144482924,0.24374477570353859,94218891
hungarian_ig_only,110,725,3625,91.24771747154125,17.27386934673367,0.7266206896551725,1990238
cluster_ig_cost,110,698,3490,90.92723442429619,6.885660138976626,0.8446991404011461,86797280
hungarian_ig_cost,110,696,3480,90.91046811089228,11.544823023486602,0.7683908045977011,2242854
cluster_ig_cost_redundancy,110,649,3245,90.18677831932223,6.522462562396007,0.8656394453004622,88078257
hungarian_ig_cost_redundancy,110,696,3480,90.82450061149613,16.462456801759345,0.764080459770115,1814546
cluster_ig_cost_redundancy_cluster,110,715,3575,91.09829785553492,11.75378905041757,0.798041958041958,91805938
hungarian_ig_cost_redundancy_cluster,110,677,3385,90.63738595815953,13.566019097793875,0.7754800590841949,1744293
cluster_ig_only,111,4451,22255,98.60148985917024,65.79380635045081,0.1960458323972141,106364713
hungarian_ig_only,111,705,3525,91.04777237808453,12.007623888182973,0.7858156028368795,1620983
cluster_ig_cost,111,750,3750,91.58107236651495,8.427973699940228,0.8170666666666667,97713573
hungarian_ig_cost,111,598,2990,89.30400579896141,8.671586715867159,0.8277591973244147,2056907
cluster_ig_cost_redundancy,111,685,3425,90.76684883470557,8.776932826362485,0.8405839416058394,84093913
hungarian_ig_cost_redundancy,111,634,3170,90.07124266619613,11.126564673157164,0.8063091482649842,2020532
cluster_ig_cost_redundancy_cluster,111,765,3825,91.70069406678894,12.101178499568842,0.7994771241830065,107103777
hungarian_ig_cost_redundancy_cluster,111,620,3100,89.77333409077998,8.564139941690962,0.8093548387096774,2368483
cluster_ig_only,112,4419,22095,98.5917961171125,67.34380988884631,0.19280380176510523,96876435
hungarian_ig_only,112,897,4485,92.9570085857717,23.195745758419854,0.6762541806020067,2188360
cluster_ig_cost,112,635,3175,90.03884849088554,4.6084546084546085,0.8670866141732283,120057120
hungarian_ig_cost,112,697,3485,90.86408229934968,11.151079136690647,0.7796269727403157,2044823
cluster_ig_cost_redundancy,112,691,3455,90.8547798786869,7.884615384615384,0.8318379160636759,104466577
hungarian_ig_cost_redundancy,112,710,3550,91.10911407155766,11.852331606217618,0.7667605633802816,1905366
cluster_ig_cost_redundancy_cluster,112,651,3255,90.30372825899777,5.549915397631134,0.8574500768049155,105231217
hungarian_ig_cost_redundancy_cluster,112,699,3495,91.00678507283976,15.041427660930529,0.7628040057224607,1757690
cluster_ig_only,113,4266,21330,98.54217443056218,65.29050829482615,0.21481481481481482,89162100
hungarian_ig_only,113,721,3605,91.25151883353585,14.744619338258913,0.7361997226074896,1893347
cluster_ig_cost,113,642,3210,90.14560610867402,5.771857923497268,0.8595015576323988,88094868
hungarian_ig_cost,113,669,3345,90.50526138208811,12.198347107438016,0.7940209267563527,2128313
cluster_ig_cost_redundancy,113,675,3375,90.67255005541573,7.87350758309132,0.845925925925926,81230999
hungarian_ig_cost_redundancy,113,647,3235,90.27582780741733,12.966804979253114,0.7780525502318393,2011398
cluster_ig_cost_redundancy_cluster,113,667,3335,90.5449963246876,6.142098273572377,0.8476761619190405,111095234
hungarian_ig_cost_redundancy_cluster,113,618,3090,89.8001495479573,9.377236936292055,0.8194174757281554,2040606
cluster_ig_only,114,4256,21280,98.53872785084408,64.6494907130018,0.19407894736842105,120195250
hungarian_ig_only,114,825,4125,92.36231896354242,19.056919642857142,0.7032727272727273,1971225
cluster_ig_cost,114,695,3475,90.85561605981795,7.041800643086817,0.8319424460431655,93959829
hungarian_ig_cost,114,673,3365,90.61529806430104,11.525759577278732,0.7961367013372956,1641968
cluster_ig_cost_redundancy,114,871,4355,92.74142850234539,23.79301807378064,0.7067738231917337,102687156
hungarian_ig_cost_redundancy,114,639,3195,90.11974404846835,11.807479224376731,0.7971830985915493,1635689
cluster_ig_cost_redundancy_cluster,114,615,3075,89.76428068101744,5.72026508545518,0.8790243902439024,126669715
hungarian_ig_cost_redundancy_cluster,114,646,3230,90.25598321563368,12.298732442617334,0.7925696594427245,1777075
cluster_ig_only,115,3363,16815,98.14924869779082,62.30896864902628,0.2566755872732679,98392431
hungarian_ig_only,115,665,3325,90.4810742228801,11.299052774018945,0.7885714285714286,1768278
cluster_ig_cost,115,742,3710,91.49627418943551,12.533492110747247,0.7919137466307278,72472302
hungarian_ig_cost,115,539,2695,88.22059727654454,4.641350210970464,0.8385899814471243,1547952
cluster_ig_cost_redundancy,115,798,3990,92.09166637376542,10.865303836460376,0.7977443609022556,84973578
hungarian_ig_cost_redundancy,115,630,3150,89.99154841866465,9.67974091399784,0.7968253968253968,1922219
cluster_ig_cost_redundancy_cluster,115,666,3330,90.50209822652413,5.670446964643095,0.8492492492492493,107885229
hungarian_ig_cost_redundancy_cluster,115,697,3485,90.98783357532669,10.482044645745713,0.793974175035868,2527548
